row ID	#featureID	cluster.index	libraryID	smiles	cas	inchi	libraryID_analogue	smiles_analogue	cas_analogue	inchi_analogue	libraryID_NAP	CF_componentindex	CF_kingdom	CF_superclass	CF_class	CF_subclass	CF_directparent	CF_substituents	CF_score	CF_kingdom_scores	CF_superclass_scores	CF_class_scores	CF_subclass_scores	CF_directparent_scores	CF_substituents_scores	AllFiles	componentindex
657	182.080565671942_0.35663905698436726	168	Massbank:PB000413 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid	C1=CC(=CC=C1CC(C(=O)O)N)O		"1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"	Massbank:PB000413 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid	C1=CC(=CC=C1CC(C(=O)O)N)O		"1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)"	Massbank:PB000413 Tyrosine|2-amino-3-(4-hydroxyphenyl)propanoic acid	82	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	none	Phenylalanine and derivatives	Aromatic homomonocyclic compound;Carbonyl group;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.278	0.278	0.306	0.139	0.037;0.038;0.055;0.038;0.034;0.047;0.053;0.034;0.052;0.034	GNPS_MS2_2iso.mgf:657###	82
2179	525.1661544281894_0.22884295739348393	563										81	Organic compounds	Organic oxygen compounds;Phenylpropanoids and polyketides	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	4'-O-methylated flavonoids;C-glucuronides;Coumaric acids and derivatives	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Primary alcohol	1	1	0.273	0.273	0.273	0.091	0.023;0.027;0.026;0.032;0.029;0.023;0.026;0.023;0.026;0.021	GNPS_MS2_2iso.mgf:2179###	81
2389	696.2242480522966_0.22762142493638693	634										81	Organic compounds	Organic oxygen compounds;Phenylpropanoids and polyketides	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	4'-O-methylated flavonoids;C-glucuronides;Coumaric acids and derivatives	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Primary alcohol	1	1	0.273	0.273	0.273	0.091	0.023;0.027;0.026;0.032;0.029;0.023;0.026;0.023;0.026;0.021	GNPS_MS2_2iso.mgf:2389###	81
1433	357.18447317716306_3.372258500557409	364										79	Organic compounds	Alkaloids and derivatives	Aporphines	none	Aporphines	Aromatic heteropolycyclic compound;Azacycle;Benzenoid;Hydrocarbon derivative;Organic nitrogen compound;Organic oxygen compound;Organoheterocyclic compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	0.5	1	0.467	0.2	0.533	0.2	0.031;0.033;0.031;0.042;0.033;0.036;0.028;0.033;0.036;0.033	GNPS_MS2_2iso.mgf:1433###	79
1934	358.6842200763232_3.4016623123123133	497										79	Organic compounds	Alkaloids and derivatives	Aporphines	none	Aporphines	Aromatic heteropolycyclic compound;Azacycle;Benzenoid;Hydrocarbon derivative;Organic nitrogen compound;Organic oxygen compound;Organoheterocyclic compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	0.5	1	0.467	0.2	0.533	0.2	0.031;0.033;0.031;0.042;0.033;0.036;0.028;0.033;0.036;0.033	GNPS_MS2_2iso.mgf:1934###	79
3372	776.2336617281392_9.968596217851738	963										77	Organic compounds	Phenylpropanoids and polyketides	Benzene and substituted derivatives;Cinnamic acids and derivatives;Flavonoids;Macrolactams	Flavonoid glycosides;Hydroxycinnamic acids and derivatives;N-phenylureas;none	Coumaric acids and derivatives;Flavonoid O-glycosides;Macrolactams;N-phenylureas	Aromatic heteropolycyclic compound;Carboxylic acid derivative;Ether;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Primary alcohol	1	1	0.75	0.25	0.25	0.25	0.026;0.02;0.02;0.026;0.026;0.026;0.026;0.026;0.026;0.02	GNPS_MS2_2iso.mgf:3372###	77
8725	704.2128724077043_9.543970491803284	2236					"NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one"	OC[C@H]1O[C@@H](OC2=C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C=C(C=C2)C4=CC(=O)C5=C(O)C=C(O)C=C5O4)[C@H](O)[C@@H](O)[C@@H]1O		"InChI=1S/C27H30O16/c28-7-17-20(33)22(35)24(37)26(42-17)40-13-2-1-9(14-6-12(32)19-11(31)4-10(30)5-16(19)39-14)3-15(13)41-27-25(38)23(36)21(34)18(8-29)43-27/h1-6,17-18,20-31,33-38H,7-8H2/t17-,18-,20-,21-,22+,23+,24-,25-,26-,27-/m1/s1"	"NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one"	77	Organic compounds	Phenylpropanoids and polyketides	Benzene and substituted derivatives;Cinnamic acids and derivatives;Flavonoids;Macrolactams	Flavonoid glycosides;Hydroxycinnamic acids and derivatives;N-phenylureas;none	Coumaric acids and derivatives;Flavonoid O-glycosides;Macrolactams;N-phenylureas	Aromatic heteropolycyclic compound;Carboxylic acid derivative;Ether;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Primary alcohol	1	1	0.75	0.25	0.25	0.25	0.026;0.02;0.02;0.026;0.026;0.026;0.026;0.026;0.026;0.02	GNPS_MS2_2iso.mgf:8725###	77
1927	337.1674912374447_8.180959077380951	496										76	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	C19-gibberellin 6-carboxylic acids;Diterpene lactones;Endocannabinoids;Germacranolides and derivatives;Long-chain fatty alcohols;Monoacylglycerols	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.6	0.32	0.2	0.06	0.027;0.038;0.036;0.03;0.047;0.044;0.047;0.044;0.021;0.021	GNPS_MS2_2iso.mgf:1927###	76
3106	380.2099138213406_8.550010109289616	874										76	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	C19-gibberellin 6-carboxylic acids;Diterpene lactones;Endocannabinoids;Germacranolides and derivatives;Long-chain fatty alcohols;Monoacylglycerols	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.6	0.32	0.2	0.06	0.027;0.038;0.036;0.03;0.047;0.044;0.047;0.044;0.021;0.021	GNPS_MS2_2iso.mgf:3106###	76
815	381.2980896395056_8.621236203423972	207										76	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Terpene lactones	C19-gibberellin 6-carboxylic acids;Diterpene lactones;Endocannabinoids;Germacranolides and derivatives;Long-chain fatty alcohols;Monoacylglycerols	Alcohol;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.6	0.32	0.2	0.06	0.027;0.038;0.036;0.03;0.047;0.044;0.047;0.044;0.021;0.021	GNPS_MS2_2iso.mgf:815###	76
1291	1073.3489394598855_4.8017322768093	320										75														GNPS_MS2_2iso.mgf:1291###	75
1293	1226.5415670038196_4.813966407151098	321										75														GNPS_MS2_2iso.mgf:1293###	75
1872	1152.9748438530553_5.065569766260165	480										74														GNPS_MS2_2iso.mgf:1872###	74
2195	1155.6404552936306_4.692417460317455	568										74														GNPS_MS2_2iso.mgf:2195###	74
6303	1423.2923224940353_5.0359434645669285	1924										73	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids	Glycosphingolipids	Organonitrogen compound;Organooxygen compound;Organopnictogen compound;Oxacycle;Oxane;Polyol;Primary alcohol;Pyran;Secondary alcohol;Secondary carboxylic acid amide	0.5	1	1	1	1	1	0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025	GNPS_MS2_2iso.mgf:6303###	73
6722	1423.7945004295116_5.0633829510703325	2021										73	Organic compounds	Lipids and lipid-like molecules	Sphingolipids	Glycosphingolipids	Glycosphingolipids	Organonitrogen compound;Organooxygen compound;Organopnictogen compound;Oxacycle;Oxane;Polyol;Primary alcohol;Pyran;Secondary alcohol;Secondary carboxylic acid amide	0.5	1	1	1	1	1	0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025;0.025	GNPS_MS2_2iso.mgf:6722###	73
1687	374.20716852278946_2.220642678571427	427										72	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic anion;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	0.632	0.632	0.421	0.368	0.033;0.035;0.033;0.045;0.031;0.028;0.038;0.042;0.042;0.031	GNPS_MS2_2iso.mgf:1687###	72
3076	374.21115375239447_2.358803219696968	866										72	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Monocarboxylic acid or derivatives;Organic anion;Organic oxide;Organic oxygen compound;Organooxygen compound;Secondary alcohol	1	1	0.632	0.632	0.421	0.368	0.033;0.035;0.033;0.045;0.031;0.028;0.038;0.042;0.042;0.031	GNPS_MS2_2iso.mgf:3076###	72
3074	1016.565618945794_4.592910204081632	865										71														GNPS_MS2_2iso.mgf:3074###	71
8117	1016.5696559167353_5.003882996894413	2194										71														GNPS_MS2_2iso.mgf:8117###	71
16	343.12351558966697_0.2989620535714286	10	Spectral Match to 4-O-.beta.-Galactopyranosyl-D-mannopyranose from NIST14		20869276		D-(+)-Trehalose		99207		D-(+)-Trehalose	70	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	Azacycle;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound;Oxacycle	1	1	0.413	0.413	0.413	0.283	0.024;0.048;0.027;0.023;0.027;0.032;0.027;0.027;0.028;0.028	GNPS_MS2_2iso.mgf:16###	70
30	325.1129739364217_0.2998327620466964	17	.beta.-Gentiobiose		554916		.beta.-Gentiobiose		554916		.beta.-Gentiobiose	70	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	O-glycosyl compounds	Azacycle;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound;Oxacycle	1	1	0.413	0.413	0.413	0.283	0.024;0.048;0.027;0.023;0.027;0.032;0.027;0.027;0.028;0.028	GNPS_MS2_2iso.mgf:30###	70
3860	276.09119455269524_0.8171635918937802	1127										69	Organic compounds	Organoheterocyclic compounds	Benzene and substituted derivatives	"Amino acids, peptides, and analogues"	Phenylbenzimidazoles	Azacycle;Benzenoid;Heteroaromatic compound;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.391	0.217	0.174	0.087	0.026;0.022;0.02;0.046;0.046;0.03;0.034;0.046;0.034;0.046	GNPS_MS2_2iso.mgf:3860###	69
6650	275.1391399761577_0.9660775675675678	2005										69	Organic compounds	Organoheterocyclic compounds	Benzene and substituted derivatives	"Amino acids, peptides, and analogues"	Phenylbenzimidazoles	Azacycle;Benzenoid;Heteroaromatic compound;Hydrocarbon derivative;Organic nitrogen compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Organooxygen compound;Organopnictogen compound	1	1	0.391	0.217	0.174	0.087	0.026;0.022;0.02;0.046;0.046;0.03;0.034;0.046;0.034;0.046	GNPS_MS2_2iso.mgf:6650###	69
725	1414.2992001209068_4.599272816537465	185										68														GNPS_MS2_2iso.mgf:725###	68
802	1414.8005159019992_4.606370025641021	205										68														GNPS_MS2_2iso.mgf:802###	68
6115	1494.084764449029_5.173374489795912	1870										67														GNPS_MS2_2iso.mgf:6115###	67
8275	1494.0854109473585_5.16270968079539	2206										67														GNPS_MS2_2iso.mgf:8275###	67
1774	1117.8777485130001_5.156686026422763	451										66														GNPS_MS2_2iso.mgf:1774###	66
3348	1118.1239193905237_5.1330643307086605	954										66														GNPS_MS2_2iso.mgf:3348###	66
1857	891.2374768025186_5.068034424150176	476										63	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Lineolic acids and derivatives;Triacylglycerols	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	0.842	0.474	0.474	0.316	0.037;0.047;0.047;0.04;0.04;0.025;0.047;0.047;0.042;0.042	GNPS_MS2_2iso.mgf:1857###	63
4407	1182.3312725313822_4.990532818930043	1325										63	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Lineolic acids and derivatives;Triacylglycerols	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	0.842	0.474	0.474	0.316	0.037;0.047;0.047;0.04;0.04;0.025;0.047;0.047;0.042;0.042	GNPS_MS2_2iso.mgf:4407###	63
4724	885.741826905611_5.025038109912682	1420										63	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Lineolic acids and derivatives;Triacylglycerols	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	0.842	0.474	0.474	0.316	0.037;0.047;0.047;0.04;0.04;0.025;0.047;0.047;0.042;0.042	GNPS_MS2_2iso.mgf:4724###	63
1277	1362.3798613691347_5.3440223063973	315										62	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Purine ribonucleoside diphosphate;Pyrimidine;Ribonucleoside 3'-phosphate;Secondary alcohol;Secondary carboxylic acid amide;Sulfenyl compound;Tetrahydrofuran;Thia fatty acid;Thiocarboxylic acid ester;Thiocarboxylic acid or derivatives	0.5	1	1	1	1	1	0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016	GNPS_MS2_2iso.mgf:1277###	62
5637	991.0931162501519_5.056669279553526	1718										62	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl thioesters	Acyl CoAs	Purine ribonucleoside diphosphate;Pyrimidine;Ribonucleoside 3'-phosphate;Secondary alcohol;Secondary carboxylic acid amide;Sulfenyl compound;Tetrahydrofuran;Thia fatty acid;Thiocarboxylic acid ester;Thiocarboxylic acid or derivatives	0.5	1	1	1	1	1	0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016;0.016	GNPS_MS2_2iso.mgf:5637###	62
1530	850.4809402406316_3.901311701509872	386										60	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Dicarboxylic acid or derivatives;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Organopnictogen compound	1	1	0.909	0.455	0.409	0.409	0.039;0.039;0.036;0.027;0.023;0.039;0.039;0.039;0.039;0.018	GNPS_MS2_2iso.mgf:1530###	60
1571	551.3184865806904_2.5594810027100277	398										60	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Triterpenoids	Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Dicarboxylic acid or derivatives;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound;Organopnictogen compound	1	1	0.909	0.455	0.409	0.409	0.039;0.039;0.036;0.027;0.023;0.039;0.039;0.039;0.039;0.018	GNPS_MS2_2iso.mgf:1571###	60
1568	931.7725632433887_4.658583769902417	396										59	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	0.938	0.812	0.812	0.812	0.062;0.066;0.066;0.062;0.062;0.062;0.066;0.066;0.066;0.066	GNPS_MS2_2iso.mgf:1568###	59
2171	932.0231054559807_4.809213851181502	561										59	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Triacylglycerols	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid derivative;Carboxylic acid ester;Fatty acid ester;Fatty acyl;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	1	1	0.938	0.812	0.812	0.812	0.062;0.066;0.066;0.062;0.062;0.062;0.066;0.066;0.066;0.066	GNPS_MS2_2iso.mgf:2171###	59
1581	569.2930920469934_2.901596001073537	399										58	Organic compounds	Lipids and lipid-like molecules	Prenol lipids;Steroids and steroid derivatives	none	Cardenolide glycosides and derivatives;Macrolactams	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.5	0.214	0.214	0.143	0.027;0.029;0.023;0.029;0.029;0.029;0.023;0.029;0.023;0.019	GNPS_MS2_2iso.mgf:1581###	58
325	697.3879724648564_2.3565589629629637	89										58	Organic compounds	Lipids and lipid-like molecules	Prenol lipids;Steroids and steroid derivatives	none	Cardenolide glycosides and derivatives;Macrolactams	Alcohol;Carbonyl group;Carboxylic acid derivative;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organoheterocyclic compound;Organooxygen compound;Oxacycle;Secondary alcohol	1	1	0.5	0.214	0.214	0.143	0.027;0.029;0.023;0.029;0.029;0.029;0.023;0.029;0.023;0.019	GNPS_MS2_2iso.mgf:325###	58
1027	1297.8663772639604_5.097148156801661	248										57	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Alkyldiacylglycerols	Dialkyl ether;Dicarboxylic acid or derivatives;Ether;Fatty acid ester;Fatty acyl;Glycerol ether;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	0.25	1	1	1	1	1	0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067	GNPS_MS2_2iso.mgf:1027###	57
1569	1135.7599934171449_5.025524717078183	397										57	Organic compounds	Lipids and lipid-like molecules	Glycerolipids	Triradylcglycerols	Alkyldiacylglycerols	Dialkyl ether;Dicarboxylic acid or derivatives;Ether;Fatty acid ester;Fatty acyl;Glycerol ether;Hydrocarbon derivative;Organic oxide;Organic oxygen compound;Organooxygen compound	0.25	1	1	1	1	1	0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067;0.067	GNPS_MS2_2iso.mgf:1569###	57
